File created on 2020-10-07T15:24:25.164921
#COOR
GSM


#START
2000 07 15 00 00 00 000       -2.63      -3.07       2.81    -734.80     -41.03      -4.60       8.74  224558.00
2000 07 15 00 01 00 000       -2.10      -3.42       3.28    -734.80     -41.01      -5.69       8.36  285673.00
2000 07 15 00 02 00 000       -2.55      -3.35       2.98    -735.50     -41.06      -2.98       7.95  240091.00
2000 07 15 00 03 00 000       -2.72      -3.45       3.13    -736.30     -40.00      -0.25       8.61  214648.00
2000 07 15 00 04 00 000       -2.60      -2.89       2.95    -736.40     -38.81       0.58       9.22  207849.00
2000 07 15 00 05 00 000       -2.47      -3.48       3.07    -733.80     -39.81      -5.82       7.47  223299.00
2000 07 15 00 06 00 000       -2.21      -3.28       3.14    -732.80     -42.20      -6.94       7.47  146706.00
2000 07 15 00 07 00 000       -2.26      -3.30       3.21    -733.60     -44.87      -1.97       7.74  318336.00
2000 07 15 00 08 00 000       -1.85      -2.84       3.55    -731.30     -49.91       0.57       8.74  387577.00
2000 07 15 00 09 00 000       -2.22      -3.14       2.86    -733.50     -47.34      -4.47       8.66  249391.00
2000 07 15 00 10 00 000       -1.54      -2.66       3.42    -729.60     -44.58      -1.92       7.93  166836.00
2000 07 15 00 11 00 000       -2.43      -3.64       2.38    -732.70     -43.51       0.71       8.26  311677.00
2000 07 15 00 12 00 000       -2.37      -3.50       2.44    -730.60     -44.69      -0.59       8.65  238965.00
2000 07 15 00 13 00 000       -2.48      -2.99       3.15    -729.60     -46.89      -0.60       7.13  194100.00
2000 07 15 00 14 00 000       -2.97      -2.32       3.85    -729.60     -46.28      -1.48       7.59  287718.00
2000 07 15 00 15 00 000       -2.52      -2.56       3.62    -728.50     -44.88      -1.85       8.01  343546.00
2000 07 15 00 16 00 000       -2.54      -2.89       3.30    -727.70     -43.78      -1.82       8.23  328602.00
2000 07 15 00 17 00 000       -2.08      -3.22       3.13    -731.50     -46.08      -1.73       8.39  235517.00
2000 07 15 00 18 00 000       -2.02      -3.48       3.16    -729.70     -47.19      -0.63       7.78  209924.00
